Device_Name,Vendor,Firmware_Version,Software Component Package,Software Component Package Version,CVEs,Score,Severity,Source
camera,,,,,,,,
,avertx,,,,,,,
,,uImage_userland,,,,,,
,,,busybox,,,,,
,,,,1.19.3,,,,
,,,,,CVE-2022-23304,9.8,CRITICAL,NVD
,,,vsftpd,,,,,
,,,,2.1.0,,,,
,,,,,CVE-2015-1419,5,MEDIUM,NVD
,,,,,CVE-2011-0762,4,MEDIUM,NVD
,,,,,CVE-2021-3618,7.4,HIGH,NVD
,,,iptables,,,,,
,,,,1.4.9.1,,,,
,,,,,CVE-2012-2663,7.5,HIGH,NVD
,tplink,,,,,,,
,,NC220_1.3.0_Build_180105_Rel.EA0CD2.bin,,,,,,
,,,gcc,,,,,
,,,,3.3.2,,,,
,,,,,CVE-2000-1219,7.5,HIGH,NVD
,,,,,CVE-2002-2439,7.8,HIGH,NVD
,,,,,CVE-2015-5276,5,MEDIUM,NVD
,,,,,CVE-2019-15847,7.5,HIGH,NVD
,,,,,CVE-2021-37322,7.8,HIGH,NVD
,,,,3.4.2,,,,
,,,,,CVE-2002-2439,7.8,HIGH,NVD
,,,,,CVE-2015-5276,5,MEDIUM,NVD
,,,,,CVE-2019-15847,7.5,HIGH,NVD
,,,,,CVE-2021-37322,7.8,HIGH,NVD
,,,openssl,,,,,
,,,,0.9.8zc,,,,
,,,,,CVE-2009-1390,6.8,MEDIUM,NVD
,,,,,CVE-2009-3765,6.8,MEDIUM,NVD
,,,,,CVE-2009-3766,6.8,MEDIUM,NVD
,,,,,CVE-2010-4252,7.5,HIGH,NVD
,,,,,CVE-2010-5298,4,MEDIUM,NVD
,,,,,CVE-2011-1945,2.6,LOW,NVD
,,,,,CVE-2011-4108,4.3,MEDIUM,NVD
,,,,,CVE-2011-4576,5,MEDIUM,NVD
,,,,,CVE-2011-4577,4.3,MEDIUM,NVD
,,,,,CVE-2011-4619,5,MEDIUM,NVD
,,,,,CVE-2012-0027,5,MEDIUM,NVD
,,,,,CVE-2013-6449,4.3,MEDIUM,NVD
,,,,,CVE-2014-0076,1.9,LOW,NVD
,,,,,CVE-2014-3567,7.1,HIGH,NVD
,,,,,CVE-2014-3568,4.3,MEDIUM,NVD
,,,,,CVE-2014-3570,5,MEDIUM,NVD
,,,,,CVE-2014-3571,5,MEDIUM,NVD
,,,,,CVE-2014-3572,5,MEDIUM,NVD
,,,,,CVE-2014-8176,7.5,HIGH,NVD
,,,,,CVE-2014-8275,5,MEDIUM,NVD
